movie	production_budget	domestic_gross	worldwide_gross	mpaa_rating	genre
790	Dream House	50000000.0	21302340.0	41642166.0	PG-13	Horror
791	Free State of Jones	50000000.0	20810036.0	23237175.0	R	Drama
792	Gamer	50000000.0	20534907.0	42002029.0	R	Action
793	Into the Blue	50000000.0	18782227.0	41982227.0	PG-13	Adventure
794	Baby's Day Out	50000000.0	16581575.0	16581575.0	PG	Adventure
795	Fair Game	50000000.0	11497497.0	26097497.0	R	Action
796	Drive Angry	50000000.0	10721033.0	41042583.0	R	Action
797	Mad City	50000000.0	10561038.0	10561038.0	PG-13	Drama
798	The Scarlet Letter	50000000.0	10359006.0	10359006.0	R	Drama
799	Domino	50000000.0	10169202.0	22969202.0	R	Action
800	Early Man	50000000.0	8267544.0	44773318.0	PG	Adventure
801	The Boat That Rocked	50000000.0	8017467.0	37472651.0	R	Comedy
802	The Big Bounce	50000000.0	6471394.0	6626115.0	PG-13	Comedy
803	What Planet Are You From?	50000000.0	6291602.0	6291602.0	R	Comedy
804	Outlander	50000000.0	166003.0	1250617.0	R	Adventure
805	Shanghai	50000000.0	46425.0	15505922.0	R	Drama
806	The One	49000000.0	43905746.0	72689126.0	PG-13	Action
807	Chappie	49000000.0	31569268.0	105002056.0	R	Action
808	The Adventures of Ford Fairlane	49000000.0	20423389.0	20423389.0	R	Comedy
809	Indiana Jones and the Last Crusade	48000000.0	197171806.0	474171806.0	PG-13	Adventure
810	The Ring	48000000.0	129094024.0	248218486.0	PG-13	Horror
811	Traffic	48000000.0	124107476.0	208300000.0	R	Drama
812	Taken 3	48000000.0	89256424.0	327656424.0	PG-13	Action
813	Three Kings	48000000.0	60652036.0	107752036.0	R	Action
814	Tooth Fairy	48000000.0	60022256.0	112610386.0	PG	Adventure
815	Rat Race	48000000.0	56607223.0	86607223.0	PG-13	Comedy
816	K-PAX	48000000.0	50315140.0	50315140.0	PG-13	Drama
817	Bedazzled	48000000.0	37879996.0	90376224.0	PG-13	Comedy
818	Out of Sight	48000000.0	37562568.0	77562568.0	R	Drama
819	The Cotton Club	48000000.0	25928721.0	25928721.0	nan	Drama
820	Rambo	47500000.0	42754105.0	112214531.0	R	Action
821	Dick Tracy	47000000.0	103738726.0	162738726.0	PG	Action
822	Arrival	47000000.0	100546139.0	203162211.0	PG-13	Drama
823	The Cable Guy	47000000.0	60240295.0	102825796.0	PG-13	Comedy
824	Riding in Cars with Boys	47000000.0	29781453.0	29781453.0	PG-13	Drama
825	Happily N'Ever After	47000000.0	15849032.0	37923818.0	PG	Adventure
826	Solaris	47000000.0	14970038.0	14970038.0	PG-13	Drama
827	Jonah Hex	47000000.0	10547117.0	11022696.0	PG-13	Action
828	Mary Reilly	47000000.0	5707094.0	12900000.0	R	Drama
829	Silence	46500000.0	7100177.0	23727516.0	R	Drama
830	My Best Friend's Wedding	46000000.0	126813153.0	298923419.0	PG	Comedy
831	Star Trek: First Contact	46000000.0	92027888.0	150000000.0	PG-13	Adventure
832	Courage Under Fire	46000000.0	59003384.0	100833145.0	R	Drama
833	Inchon	46000000.0	4408636.0	4408636.0	nan	Drama
834	Liar Liar	45000000.0	181410615.0	302710615.0	PG-13	Comedy
835	A Bug's Life	45000000.0	162798565.0	363095319.0	G	Adventure
836	The Flintstones	45000000.0	130531208.0	358500000.0	PG	Comedy
837	Scary Movie 3	45000000.0	110000082.0	155200000.0	PG-13	Comedy
838	Miss Congeniality	45000000.0	106807667.0	213420951.0	PG-13	Comedy
839	Pitch Perfect 3	45000000.0	104897530.0	185736412.0	PG-13	Comedy
840	Journey to the Center of the Earth	45000000.0	101704370.0	243180937.0	PG	Adventure
841	The Pelican Brief	45000000.0	100768056.0	187995859.0	PG-13	Drama
842	The Bucket List	45000000.0	93466502.0	174807445.0	PG-13	Comedy
843	The Client	45000000.0	92115211.0	117615211.0	PG-13	Drama
844	The Muppets	45000000.0	88625922.0	160971922.0	PG	Adventure
845	Patriot Games	45000000.0	83287363.0	178100000.0	R	Action
846	Monster-in-Law	45000000.0	82931301.0	155931301.0	PG-13	Comedy
847	Training Day	45000000.0	76261036.0	104505362.0	R	Drama
848	Galaxy Quest	45000000.0	71423726.0	90523726.0	PG	Adventure
849	Scary Movie 2	45000000.0	71277420.0	141189101.0	R	Comedy
850	Blade	45000000.0	70141876.0	131237688.0	R	Action
851	Coach Carter	45000000.0	67264877.0	76665507.0	PG-13	Drama
852	Anaconda	45000000.0	65598907.0	136998907.0	PG-13	Horror
853	Underworld: Evolution	45000000.0	62318875.0	113417762.0	R	Action
854	Coyote Ugly	45000000.0	60786269.0	113916474.0	PG-13	Drama
855	Jack	45000000.0	58617334.0	58617334.0	PG-13	Drama
856	The Specialist	45000000.0	57362581.0	57362581.0	R	Action
857	Office Christmas Party	45000000.0	54767494.0	91340376.0	R	Comedy
858	Yours, Mine and Ours	45000000.0	53359917.0	72359917.0	PG	Comedy
859	Resident Evil: Extinction	45000000.0	50648679.0	146162920.0	R	Action
860	Fat Albert	45000000.0	48114556.0	48563556.0	PG	Comedy
861	The River Wild	45000000.0	46815000.0	94215000.0	PG-13	Action
862	All Eyez on Me	45000000.0	44922302.0	54876855.0	R	Drama
863	Last Holiday	45000000.0	38399961.0	43343247.0	PG-13	Comedy
864	16 Blocks	45000000.0	36895141.0	65595141.0	PG-13	Action
865	The Indian in the Cupboard	45000000.0	35627222.0	35627222.0	PG	Adventure
866	The Ant Bully	45000000.0	28142535.0	49610898.0	PG	Adventure
867	Johnny English	45000000.0	28013509.0	163126676.0	PG	Adventure
868	Dune	45000000.0	27447471.0	27447471.0	nan	Action
869	Aliens in the Attic	45000000.0	25200412.0	59551283.0	PG	Adventure
870	Revolutionary Road	45000000.0	22951340.0	79604820.0	R	Drama
871	Babylon A.D.	45000000.0	22532572.0	70216497.0	PG-13	Action
872	Frankenstein	45000000.0	22006296.0	112006296.0	R	Horror
873	The Glimmer Man	45000000.0	20404841.0	36404841.0	R	Action
874	Multiplicity	45000000.0	20133326.0	20133326.0	PG-13	Comedy
875	The Pledge	45000000.0	19719930.0	29406132.0	R	Drama
876	The Phantom	45000000.0	17220599.0	17220599.0	PG	Action
877	Rebound	45000000.0	16809014.0	17492014.0	PG	Comedy
878	Nixon	45000000.0	13668249.0	34668249.0	R	Drama
879	Dredd	45000000.0	13414714.0	41467606.0	R	Action
880	The Rum Diary	45000000.0	13109815.0	21544732.0	R	Drama
881	Deep Rising	45000000.0	11203026.0	11203026.0	R	Action
882	Johnny English Reborn	45000000.0	8406711.0	164640401.0	PG	Adventure
883	Miracle at St. Anna	45000000.0	7916887.0	9676497.0	R	Drama
884	Big Trouble	45000000.0	7262288.0	8488871.0	PG-13	Comedy
885	Man cheng jin dai huang jin jia	45000000.0	6566773.0	76904429.0	R	Action
886	Love in the Time of Cholera	45000000.0	4617608.0	31077418.0	R	Drama
887	Rambo: First Blood Part II	44000000.0	150415432.0	300400000.0	R	Action
888	Sleepers	44000000.0	53300852.0	165600852.0	R	Drama
889	Charlie St. Cloud	44000000.0	31206263.0	48478084.0	PG-13	Drama
890	The Interview	44000000.0	6105175.0	12342632.0	R	Comedy
891	The Heat	43000000.0	159581587.0	229727774.0	R	Comedy
892	Finding Forrester	43000000.0	51768623.0	80013623.0	PG-13	Drama
893	28 Days	43000000.0	37035515.0	62063972.0	PG-13	Comedy
894	Danny the Dog	43000000.0	24537621.0	49037621.0	R	Action
895	A Monster Calls	43000000.0	3740823.0	46414964.0	PG-13	Drama
896	The Mechanic	42500000.0	29121498.0	76347393.0	R	Action
897	21 Jump Street	42000000.0	138447667.0	202812429.0	R	Comedy
898	Chicken Run	42000000.0	106793915.0	227793915.0	G	Adventure
899	Boomerang	42000000.0	70052444.0	131052444.0	R	Comedy
900	Brüno	42000000.0	60054530.0	138708527.0	R	Comedy
901	Cleopatra	42000000.0	57000000.0	71000000.0	G	Drama
902	Snatched	42000000.0	45852178.0	57852177.0	R	Comedy
903	Here Comes the Boom	42000000.0	45290318.0	73239258.0	PG	Comedy
904	Licence to Kill	42000000.0	34667015.0	156167015.0	PG-13	Action
905	One for the Money	42000000.0	26414527.0	36197221.0	PG-13	Comedy
906	Lord of War	42000000.0	24149632.0	60437727.0	R	Action
907	Super Mario Bros.	42000000.0	20844907.0	20844907.0	PG	Action
908	Hero	42000000.0	19487173.0	66787173.0	PG-13	Comedy
909	McHale's Navy	42000000.0	4408420.0	4408420.0	PG	Comedy
910	Micmacs	42000000.0	1259693.0	11756922.0	R	Comedy
911	8 Mile	41000000.0	116724075.0	245768384.0	R	Drama
912	A Knight’s Tale	41000000.0	56083966.0	100622586.0	PG-13	Adventure
913	The Medallion	41000000.0	22108977.0	22108977.0	PG-13	Comedy
914	The Big Year	41000000.0	7204138.0	7684524.0	PG	Comedy
915	Wedding Crashers	40000000.0	209218368.0	283218368.0	R	Comedy
916	Fifty Shades of Grey	40000000.0	166167230.0	570998101.0	R	Drama
917	Cheaper by the Dozen	40000000.0	138614544.0	190212113.0	PG	Comedy
918	Lucy	40000000.0	126573960.0	457507776.0	R	Action
919	Lone Survivor	40000000.0	125095601.0	149804632.0	R	Action
920	Back to the Future Part II	40000000.0	118450002.0	332000000.0	PG	Adventure
921	Double Jeopardy	40000000.0	116735231.0	177835231.0	R	Action
922	Spy Kids 3-D: Game Over	40000000.0	111760631.0	167851995.0	PG	Adventure
923	A Time to Kill	40000000.0	108766007.0	152266007.0	R	Drama
924	A League of Their Own	40000000.0	107533925.0	132440066.0	PG	Comedy
925	The Social Network	40000000.0	96962694.0	224922135.0	PG-13	Drama
926	Julie & Julia	40000000.0	94125426.0	126646119.0	PG-13	Comedy
927	John Wick: Chapter Two	40000000.0	92029184.0	171370497.0	R	Action
928	Ride Along 2	40000000.0	90862685.0	124827316.0	PG-13	Comedy
929	Scary Movie 4	40000000.0	90710620.0	178710620.0	PG-13	Comedy
930	Get Hard	40000000.0	90411453.0	106511453.0	R	Comedy
931	Scream 3	40000000.0	89138076.0	161838076.0	R	Horror
932	Back to the Future Part III	40000000.0	88055283.0	244088654.0	PG	Adventure
933	Dumb and Dumber To	40000000.0	86208010.0	156553592.0	PG-13	Comedy
934	Bram Stoker's Dracula	40000000.0	82522790.0	215862692.0	R	Horror
935	Eight Below	40000000.0	81612565.0	120455994.0	PG	Adventure
936	The Talented Mr. Ripley	40000000.0	81292135.0	128792135.0	R	Drama
937	The Intern	40000000.0	75764672.0	197232734.0	PG-13	Comedy
938	The Last of the Mohicans	40000000.0	75505856.0	75505856.0	R	Action
939	Ray	40000000.0	75305995.0	124823094.0	PG-13	Drama
940	Sin City	40000000.0	74103820.0	158527918.0	R	Action
941	I Love You, Man	40000000.0	72013010.0	92302502.0	R	Comedy
942	JFK	40000000.0	70405498.0	205400000.0	R	Drama
943	Big Momma's House 2	40000000.0	70165972.0	137047376.0	PG-13	Comedy
944	Hacksaw Ridge	40000000.0	67209615.0	168940583.0	R	Drama
945	The Mexican	40000000.0	66808615.0	145238250.0	R	Action
946	The Final Destination	40000000.0	66477700.0	187384627.0	R	Horror
947	17 Again	40000000.0	64167069.0	139474906.0	PG-13	Comedy
948	Get Him to the Greek	40000000.0	61153526.0	91455875.0	R	Comedy
949	Gothika	40000000.0	59588068.0	141484812.0	R	Horror
950	Behind Enemy Lines	40000000.0	58855732.0	58855732.0	PG-13	Action
951	Invincible	40000000.0	57806952.0	58501127.0	PG	Drama
952	Escape From Planet Earth	40000000.0	57012977.0	74156610.0	PG	Adventure
953	Small Soldiers	40000000.0	55143823.0	71743823.0	PG-13	Adventure
954	Spawn	40000000.0	54979992.0	87949859.0	PG-13	Action
955	Horrible Bosses 2	40000000.0	54445357.0	105945357.0	R	Comedy
956	The Count of Monte Cristo	40000000.0	54228104.0	75389090.0	PG-13	Drama
957	The Lake House	40000000.0	52330111.0	114830111.0	PG	Drama
958	Predators	40000000.0	52000688.0	127234389.0	R	Action
959	The Odd Life of Timothy Green	40000000.0	51853450.0	55249159.0	PG	Drama
960	The Living Daylights	40000000.0	51185000.0	191200000.0	PG	Action
961	Apocalypto	40000000.0	50866635.0	121032272.0	R	Action
962	Legal Eagles	40000000.0	49851591.0	49851591.0	PG	Comedy
963	The Skeleton Key	40000000.0	47907715.0	92256918.0	PG-13	Horror
964	Jersey Boys	40000000.0	47047013.0	65282732.0	R	Drama
965	The Rainmaker	40000000.0	45916769.0	45916769.0	PG-13	Drama
966	Medicine Man	40000000.0	44948240.0	44948240.0	PG-13	Drama
967	Amistad	40000000.0	44212592.0	58250151.0	R	Drama
968	A Million Ways to Die in The West	40000000.0	42720965.0	86778557.0	R	Comedy
969	Final Destination 5	40000000.0	42587643.0	155011165.0	R	Horror
970	Aliens vs. Predator - Requiem	40000000.0	41797066.0	128884494.0	R	Action
971	The Water Horse: Legend of the Deep	40000000.0	40412817.0	103429755.0	PG	Drama
972	Sex Tape	40000000.0	38543473.0	126069509.0	R	Comedy
973	Scream 4	40000000.0	38180928.0	95989590.0	R	Horror
974	Ri¢hie Ri¢h	40000000.0	38087756.0	38087756.0	PG	Comedy
975	Autumn in New York	40000000.0	37752931.0	90717684.0	PG-13	Drama
976	Paul	40000000.0	37412945.0	101162106.0	R	Comedy
977	The Guilt Trip	40000000.0	37134215.0	41294674.0	PG-13	Comedy
978	Hanging Up	40000000.0	36037909.0	51867723.0	PG-13	Comedy
979	The Doors	40000000.0	34416893.0	34416893.0	R	Drama
980	Mickey Blue Eyes	40000000.0	33864342.0	53864342.0	PG-13	Comedy
981	Pay it Forward	40000000.0	33508922.0	55696705.0	PG-13	Drama
982	Drillbit Taylor	40000000.0	32862104.0	49686263.0	PG-13	Comedy
983	Extremely Loud and Incredibly Close	40000000.0	31847881.0	55247881.0	PG-13	Drama
984	The Shadow	40000000.0	31835600.0	31835600.0	PG-13	Action
985	Morning Glory	40000000.0	31011732.0	59795070.0	PG-13	Comedy
986	Get Rich or Die Tryin'	40000000.0	30981850.0	46666955.0	R	Drama
987	Grudge Match	40000000.0	29807260.0	69807260.0	PG-13	Comedy
988	The Out-of-Towners	40000000.0	28544120.0	28544120.0	PG-13	Comedy
989	The Nut Job 2: Nutty by Nature	40000000.0	28370522.0	57465156.0	PG	Adventure
990	The Island of Dr. Moreau	40000000.0	27682712.0	27682712.0	PG-13	Adventure
991	The Musketeer	40000000.0	27053815.0	27053815.0	PG-13	Adventure
992	Resident Evil: The Final Chapter	40000000.0	26844692.0	312825686.0	R	Action
993	The Other Boleyn Girl	40000000.0	26814957.0	78269970.0	PG-13	Drama
994	The House	40000000.0	25584504.0	31192743.0	R	Comedy
995	Sweet November	40000000.0	25288103.0	65754228.0	PG-13	Drama
996	The Reaping	40000000.0	25126214.0	62226214.0	R	Horror
997	Renaissance Man	40000000.0	24172899.0	24172899.0	PG-13	Comedy
998	Quest for Camelot	40000000.0	22772500.0	38172500.0	G	Adventure
999	City by the Sea	40000000.0	22433915.0	22433915.0	R	Drama
1000	At First Sight	40000000.0	22365133.0	22365133.0	PG-13	Drama
1001	Torque	40000000.0	21176322.0	46176322.0	PG-13	Action
1002	Fantastic Mr. Fox	40000000.0	21002919.0	47083412.0	PG	Adventure
1003	City Hall	40000000.0	20278055.0	20278055.0	R	Drama
1004	Big Miracle	40000000.0	20157300.0	25268680.0	PG	Drama
1005	The Impossible	40000000.0	19019882.0	169590606.0	PG-13	Drama
1006	A Thousand Words	40000000.0	18450127.0	20790486.0	PG-13	Comedy
1007	Marie Antoinette	40000000.0	15962471.0	60862471.0	PG-13	Drama
1008	Get Carter	40000000.0	14967182.0	19417182.0	R	Drama
1009	Kiss of Death	40000000.0	14942422.0	14942422.0	R	Drama
1010	Ishtar	40000000.0	14375181.0	14375181.0	PG-13	Comedy
1011	Memoirs of an Invisible Man	40000000.0	14358033.0	14358033.0	PG-13	Comedy
1012	Amelia	40000000.0	14279575.0	19756077.0	PG	Drama
1013	New York Minute	40000000.0	14018364.0	21215882.0	PG	Comedy
1014	The Deep End of the Ocean	40000000.0	13508635.0	13508635.0	PG-13	Drama
1015	FearDotCom	40000000.0	13208023.0	13208023.0	R	Horror
1016	Soul Men	40000000.0	12082391.0	12345883.0	R	Comedy
1017	Universal Soldier II: The Return	40000000.0	10447421.0	10717421.0	R	Action
1018	Pandorum	40000000.0	10330853.0	17033431.0	R	Horror
1019	Duplex	40000000.0	9652000.0	10070651.0	PG-13	Comedy
1020	Extreme Ops	40000000.0	4835968.0	12624471.0	PG-13	Action
1021	Just Visiting	40000000.0	4777007.0	16172200.0	PG-13	Comedy
1022	The Hudsucker Proxy	40000000.0	2816518.0	14938149.0	PG	Comedy
1023	Billy Lynn’s Long Halftime Walk	40000000.0	1738477.0	30230402.0	R	Drama
1024	Delgo	40000000.0	915840.0	915840.0	PG	Adventure
1025	The Hunting Party	40000000.0	876671.0	7729552.0	R	Adventure
1026	Alex Rider: Operation Stormbreaker	40000000.0	659210.0	20722450.0	PG	Action
1027	Red Cliff	40000000.0	627047.0	119627047.0	R	Action
1028	The Last Shot	40000000.0	463730.0	463730.0	R	Comedy
1029	Nomad	40000000.0	79123.0	79123.0	R	Drama
1030	USS Indianapolis: Men of Courage	40000000.0	0.0	1641255.0	R	Drama
1031	The Time Traveler's Wife	39000000.0	63414846.0	102332135.0	PG-13	Drama
1032	Superman III	39000000.0	59950623.0	59950623.0	PG	Adventure
1033	Because I Said So	39000000.0	42674040.0	69538833.0	PG-13	Comedy
1034	Frankenweenie	39000000.0	35287788.0	81150788.0	PG	Adventure
1035	Sgt. Bilko	39000000.0	30356589.0	37956589.0	PG	Comedy
1036	Serenity	39000000.0	25514517.0	40319440.0	PG-13	Action
1037	Against the Ropes	39000000.0	5881504.0	6429865.0	PG-13	Drama
1038	Yi dai zong shi	38600000.0	6594959.0	57987299.0	PG-13	Action
1039	The Fast and the Furious	38000000.0	144512310.0	206512310.0	PG-13	Action
1040	Sweet Home Alabama	38000000.0	127214072.0	182365114.0	PG-13	Comedy
1041	Star Trek: Generations	38000000.0	75671262.0	120000000.0	PG	Adventure
1042	Paul Blart: Mall Cop 2	38000000.0	71091594.0	107650646.0	PG	Adventure
1043	Mouse Hunt	38000000.0	61894591.0	61894591.0	PG	Adventure
1044	Why Him?	38000000.0	60323786.0	117439538.0	R	Comedy
1045	Water for Elephants	38000000.0	58709717.0	116809717.0	PG-13	Drama
1046	The Hurricane	38000000.0	50699241.0	73956241.0	R	Drama
1047	Riddick	38000000.0	42025135.0	94763758.0	R	Action
1048	The 5th Wave	38000000.0	34912982.0	111336398.0	PG-13	Action
1049	Rush	38000000.0	26947624.0	98230839.0	R	Drama
1050	Angel Eyes	38000000.0	24044532.0	29544532.0	R	Drama
1051	Joe Somebody	38000000.0	22770864.0	24515990.0	PG	Comedy
1052	Only the Brave	38000000.0	18340051.0	24181629.0	PG-13	Drama
1053	Extreme Measures	38000000.0	17378193.0	17378193.0	R	Drama
1054	Rock Star	38000000.0	16991902.0	19317765.0	R	Drama
1055	White Squall	38000000.0	10229300.0	10229300.0	PG-13	Adventure
1056	City of Ember	38000000.0	7873007.0	17831558.0	PG	Adventure
1057	Switchback	38000000.0	6504442.0	6504442.0	R	Action
1058	The Master	37500000.0	16247159.0	50647416.0	R	Drama
1059	The Express	37500000.0	9793406.0	9813309.0	PG	Drama
1060	We're the Millers	37000000.0	150394119.0	267816276.0	R	Comedy
1061	Creed	37000000.0	109767581.0	173567581.0	PG-13	Drama
1062	The Town	37000000.0	92186262.0	152566881.0	R	Drama
1063	Dolphin Tale	37000000.0	72286779.0	96068724.0	PG	Drama
1064	Game Night	37000000.0	69001013.0	117201013.0	R	Comedy
1065	13 Going On 30	37000000.0	57139723.0	97658712.0	PG-13	Comedy
1066	Nim's Island	37000000.0	48006762.0	101857425.0	PG	Adventure
1067	Cop Out	37000000.0	44875481.0	55909910.0	R	Comedy
1068	The Rite	37000000.0	33047633.0	97143987.0	PG-13	Horror
1069	Space Chimps	37000000.0	30105968.0	67029956.0	G	Adventure
1070	Magnolia	37000000.0	22450975.0	48446802.0	R	Drama
1071	Aloha	37000000.0	21052030.0	24935799.0	PG-13	Drama
1072	A Star is Born	36000000.0	126181246.0	200881246.0	R	Drama
1073	Gnomeo and Juliet	36000000.0	99967670.0	193737977.0	G	Comedy
1074	John Q	36000000.0	71026631.0	102226631.0	PG-13	Drama
1075	Blue Streak	36000000.0	68208190.0	117448157.0	PG-13	Action
1076	Never Say Never Again	36000000.0	55500000.0	160000000.0	PG	Action
1077	Hot Tub Time Machine	36000000.0	50269859.0	65967750.0	R	Comedy
1078	Dolphin Tale 2	36000000.0	42024533.0	57824533.0	PG	Drama
1079	Collateral Beauty	36000000.0	31016021.0	85315070.0	PG-13	Drama
1080	A Man Apart	36000000.0	26500000.0	43797731.0	R	Action
1081	Reindeer Games	36000000.0	23360779.0	23360779.0	R	Action
1082	Snow Falling on Cedars	36000000.0	14378353.0	14378353.0	PG-13	Drama
1083	Ghosts of Mississippi	36000000.0	13052741.0	13052741.0	PG-13	Drama
1084	Gattaca	36000000.0	12532777.0	12532777.0	PG-13	Drama
1085	Isn't She Great	36000000.0	2954405.0	2954405.0	R	Comedy
1086	Yip Man 3	36000000.0	2679437.0	157300954.0	PG-13	Action
1087	There Be Dragons	36000000.0	1069334.0	4020990.0	PG-13	Drama
1088	Queen of the Desert	36000000.0	0.0	1578543.0	PG-13	Drama
1089	Head of State	35200000.0	37788228.0	38283765.0	PG-13	Comedy
1090	It	35000000.0	327481748.0	697459228.0	R	Horror
1091	The Hangover	35000000.0	277322503.0	465764086.0	R	Comedy
1092	The Blind Side	35000000.0	255959475.0	305705794.0	PG-13	Drama
1093	Batman	35000000.0	251188924.0	411348924.0	PG-13	Action
1094	Lethal Weapon 3	35000000.0	144731527.0	319700000.0	R	Action
1095	Rush Hour	35000000.0	141186864.0	245300000.0	PG-13	Action
1096	Identity Thief	35000000.0	134506920.0	175361578.0	R	Comedy
1097	The Devil Wears Prada	35000000.0	124740460.0	326073155.0	PG-13	Comedy
1098	Horrible Bosses	35000000.0	117538559.0	212417601.0	R	Comedy
1099	Spy Kids	35000000.0	112692062.0	197692062.0	PG	Adventure
1100	Trainwreck	35000000.0	110212700.0	141123897.0	R	Comedy
1101	Saving Mr. Banks	35000000.0	83299761.0	114962525.0	PG-13	Drama
1102	Star Trek: The Motion Picture	35000000.0	82258456.0	139000000.0	PG	Adventure
1103	The English Patient	35000000.0	78716374.0	231710008.0	R	Drama
1104	Hotel for Dogs	35000000.0	73178547.0	122357172.0	PG	Adventure
1105	Guess Who	35000000.0	68915888.0	102115888.0	PG-13	Comedy
1106	This is 40	35000000.0	67544505.0	90221182.0	R	Comedy
1107	L.A. Confidential	35000000.0	64604977.0	126204977.0	R	Drama
1108	Sky High	35000000.0	63939454.0	83109359.0	PG	Adventure
1109	In & Out	35000000.0	63826569.0	83226569.0	PG-13	Comedy
1110	Species	35000000.0	60054449.0	113354449.0	R	Action
1111	The Benchwarmers	35000000.0	59843754.0	65063726.0	PG-13	Comedy
1112	Secretariat	35000000.0	59699513.0	60376247.0	PG	Drama
1113	The Man in the Iron Mask	35000000.0	56968169.0	56968169.0	PG-13	Adventure
1114	Neighbors 2: Sorority Rising	35000000.0	55340730.0	108758521.0	R	Comedy
1115	TMNT	35000000.0	54149098.0	96096018.0	PG	Action
1116	Radio	35000000.0	52333738.0	53293628.0	PG	Drama
1117	Sicario: Day of the Soldado	35000000.0	50065850.0	73285196.0	R	Action
1118	Old Dogs	35000000.0	49492060.0	95104304.0	PG	Comedy
1119	Malcolm X	35000000.0	48169910.0	48169910.0	PG-13	Drama
1120	Underworld 3: Rise of the Lycans	35000000.0	45802315.0	89102315.0	R	Action
1121	12 Strong	35000000.0	45500164.0	70798829.0	R	Drama
1122	Donnie Brasco	35000000.0	41954997.0	65303052.0	R	Drama
1123	Max Payne	35000000.0	40689393.0	85763888.0	PG-13	Action
1124	Resident Evil	35000000.0	40119709.0	103787401.0	R	Horror
1125	The Ladykillers	35000000.0	39692139.0	77392139.0	R	Comedy
1126	The Nativity Story	35000000.0	37629831.0	46309644.0	PG	Drama
1127	J. Edgar	35000000.0	37306030.0	84606030.0	R	Drama
1128	Bounce	35000000.0	36805288.0	53425292.0	PG-13	Drama
1129	Mile 22	35000000.0	36108758.0	64708758.0	R	Action
1130	The Foreigner	35000000.0	34393507.0	140783646.0	R	Action
1131	Closer	35000000.0	33987757.0	116177695.0	R	Drama
1132	Street Fighter	35000000.0	33423000.0	99423000.0	PG-13	Action
1133	Black Knight	35000000.0	33422806.0	33422806.0	PG-13	Adventure
1134	The Pianist	35000000.0	32519322.0	111854182.0	R	Drama
1135	House of Wax	35000000.0	32064800.0	70064800.0	R	Horror
1136	Adrift	35000000.0	31445011.0	57931376.0	PG-13	Drama
1137	Mirrors	35000000.0	30691439.0	77220596.0	R	Horror
1138	Queen of the Damned	35000000.0	30307804.0	30307804.0	R	Horror
1139	Nanny McPhee and the Big Bang	35000000.0	29197642.0	97799865.0	PG	Adventure
1140	Goosebumps 2: Haunted Halloween	35000000.0	28804812.0	39904812.0	PG	Horror
1141	Predator 2	35000000.0	28317513.0	54768418.0	R	Action
1142	Flash Gordon	35000000.0	27107960.0	27107960.0	nan	Action
1143	Superhero Movie	35000000.0	26638520.0	73026302.0	PG-13	Comedy
1144	Blast from the Past	35000000.0	26613620.0	26613620.0	PG-13	Comedy
1145	Jersey Girl	35000000.0	25266129.0	37066129.0	PG-13	Comedy
1146	Heist	35000000.0	23483357.0	28906817.0	R	Action
1147	Hoffa	35000000.0	23365858.0	28391473.0	R	Drama
1148	Whiskey Tango Foxtrot	35000000.0	23083334.0	25350747.0	R	Comedy
1149	Ella Enchanted	35000000.0	22913677.0	22913677.0	PG	Comedy
1150	Hitman: Agent 47	35000000.0	22467450.0	81959582.0	R	Action
1151	The X-Files: I Want to Believe	35000000.0	20982478.0	68170792.0	PG-13	Action
1152	Valiant	35000000.0	19478106.0	64188387.0	G	Adventure
1153	Wonder Boys	35000000.0	19389454.0	33422485.0	R	Comedy
1154	Cursed	35000000.0	19294901.0	25114901.0	PG-13	Horror
1155	Walk Hard: The Dewey Cox Story	35000000.0	18317151.0	20606053.0	R	Comedy
1156	The Four Feathers	35000000.0	18306166.0	29882645.0	PG-13	Drama
1157	Furry Vengeance	35000000.0	17630465.0	39340177.0	PG	Adventure
1158	Bait	35000000.0	15325127.0	15471969.0	R	Action
1159	Dungeons and Dragons	35000000.0	15185241.0	33771965.0	PG-13	Adventure
1160	Lions for Lambs	35000000.0	14998070.0	63211088.0	R	Drama
1161	Flight of the Intruder	35000000.0	14471440.0	14471440.0	PG-13	Action
1162	The Tree of Life	35000000.0	13305665.0	61721826.0	PG-13	Drama
1163	Zoom	35000000.0	11989328.0	12506188.0	PG	Adventure
1164	The Shipping News	35000000.0	11405825.0	24405825.0	R	Drama
1165	The Young Victoria	35000000.0	11001272.0	31878891.0	PG	Drama
1166	Sabotage	35000000.0	10508518.0	18376443.0	R	Action
1167	Knock Off	35000000.0	10319915.0	10319915.0	R	Action
1168	Unfinished Business	35000000.0	10219501.0	12819501.0	R	Comedy
1169	The Walk	35000000.0	10161183.0	61197045.0	PG	Drama
1170	The Fountain	35000000.0	10144010.0	15461638.0	PG-13	Drama
1171	Mandela: Long Walk to Freedom	35000000.0	8323085.0	29890402.0	PG-13	Drama
1172	Punisher: War Zone	35000000.0	8050977.0	10157534.0	R	Action
1173	A Good Year	35000000.0	7459300.0	42064105.0	PG-13	Drama
1174	The Brothers Grimsby	35000000.0	6864016.0	28721408.0	R	Comedy
1175	Warriors of Virtue	35000000.0	6448817.0	6448817.0	PG	Action
1176	Luther	35000000.0	5781086.0	32736879.0	PG-13	Drama
1177	Biutiful	35000000.0	5101237.0	24687524.0	R	Drama
