occupation,soc_code,occupation_type,employment_2024_thousands,employment_2034_thousands,employment_change_thousands,employment_change_percent,annual_openings_thousands,median_wage_2024,education_entry,work_experience,on_the_job_training
"        Kindergarten teachers, except special education",25-2012,Line item,117.2,115.2,-1.9,-1.6,12.8,61430,Bachelor's degree,,
"        Elementary school teachers, except special education",25-2021,Line item,1422.7,1394.8,-27.9,-2,91,62340,Bachelor's degree,,
"        Middle school teachers, except special and career/technical education",25-2022,Line item,633.7,621.3,-12.4,-2,40.5,62970,Bachelor's degree,,
"        Career/technical education teachers, middle school",25-2023,Line item,14,13.8,-0.3,-2,0.9,63620,Bachelor's degree,Less than 5 years,
"        Secondary school teachers, except special and career/technical education",25-2031,Line item,1094.5,1076.7,-17.8,-1.6,66.2,64580,Bachelor's degree,,
"        Career/technical education teachers, secondary school",25-2032,Line item,103.4,101.5,-1.9,-1.8,6.2,63910,Bachelor's degree,Less than 5 years,
"        Special education teachers, preschool",25-2051,Line item,29.3,29.7,0.4,1.4,2.1,62190,Bachelor's degree,,
"        Special education teachers, kindergarten and elementary school",25-2052,Line item,230.2,226.1,-4.1,-1.8,15.4,63000,Bachelor's degree,,
"        Special education teachers, middle school",25-2057,Line item,94.8,93,-1.8,-1.9,6.3,64880,Bachelor's degree,,
"        Special education teachers, secondary school",25-2058,Line item,164.2,161.5,-2.6,-1.6,11.1,69590,Bachelor's degree,,
"        Special education teachers, all other",25-2059,Line item,41,41.5,0.4,1.1,2.9,67430,Bachelor's degree,,
"      Adult basic education, adult secondary education, and english as a second language instructors",25-3011,Line item,40.9,35.3,-5.6,-13.7,3.9,59950,Bachelor's degree,,
      Self-enrichment teachers,25-3021,Line item,417.5,433,15.5,3.7,51.4,45590,High school diploma or equivalent,Less than 5 years,
"      Substitute teachers, short-term",25-3031,Line item,510.1,518.5,8.4,1.6,61.1,38470,Bachelor's degree,,
      Tutors,25-3041,Line item,215.5,216.8,1.3,0.6,37.1,40090,"Some college, no degree",,
"      Teachers and instructors, all other",25-3099,Line item,153.8,153.5,-0.2,-0.1,18,64690,Bachelor's degree,,
        Archivists,25-4011,Line item,9.3,9.7,0.4,3.8,1.1,61570,Master's degree,,
        Curators,25-4012,Line item,15.1,16.2,1.1,7,1.8,61770,Master's degree,,
        Museum technicians and conservators,25-4013,Line item,15.7,16.5,0.8,5.4,1.9,47460,Bachelor's degree,,
      Librarians and media collections specialists,25-4022,Line item,142.1,144.5,2.4,1.7,13.5,64320,Master's degree,,
      Library technicians,25-4031,Line item,78.6,73.2,-5.4,-6.8,13,39970,Postsecondary nondegree award,,
      Farm and home management educators,25-9021,Line item,12.4,12.1,-0.3,-2.5,1.1,58120,Master's degree,,
      Instructional coordinators,25-9031,Line item,232.6,235.5,2.9,1.3,21.9,74720,Master's degree,5 years or more,
"        Teaching assistants, postsecondary",25-9044,Line item,193.6,199.6,6,3.1,24.6,44930,Bachelor's degree,,
"        Teaching assistants, except postsecondary",25-9045,Line item,1422.8,1401.7,-21.1,-1.5,170.4,35240,"Some college, no degree",,
"      Educational instruction and library workers, all other",25-9099,Line item,132,134,2,1.5,12.5,48400,Bachelor's degree,,
        Art directors,27-1011,Line item,135,140.7,5.7,4.2,12.3,111040,Bachelor's degree,5 years or more,
        Craft artists,27-1012,Line item,11.6,11.9,0.2,2.1,1,38480,No formal educational credential,,Long-term on-the-job training
"        Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,26.5,26.2,-0.3,-1.2,2.2,60560,Bachelor's degree,,Long-term on-the-job training
        Special effects artists and animators,27-1014,Line item,57.1,58,0.9,1.6,5,99800,Bachelor's degree,,
"        Artists and related workers, all other",27-1019,Line item,13.9,14,0.1,0.8,1.2,72760,No formal educational credential,,Long-term on-the-job training
        Commercial and industrial designers,27-1021,Line item,30.6,31.6,1,3.2,2.5,79450,Bachelor's degree,,
        Fashion designers,27-1022,Line item,25.7,26.2,0.5,2,2.3,80690,Bachelor's degree,,
        Floral designers,27-1023,Line item,43.8,41.2,-2.6,-5.9,5.1,36120,High school diploma or equivalent,,Moderate-term on-the-job training
        Graphic designers,27-1024,Line item,265.9,271.5,5.7,2.1,20,61300,Bachelor's degree,,
        Interior designers,27-1025,Line item,87.1,89.9,2.8,3.2,7.8,63490,Bachelor's degree,,
        Merchandise displayers and window trimmers,27-1026,Line item,193,199.3,6.2,3.2,20.8,37350,High school diploma or equivalent,,Short-term on-the-job training
        Set and exhibit designers,27-1027,Line item,31.3,32,0.7,2.3,2.5,66280,Bachelor's degree,,
"        Designers, all other",27-1029,Line item,28.6,29.2,0.6,2,2.2,66220,Bachelor's degree,,
        Actors,27-2011,Line item,57,57.1,0.2,0.3,6.3,,"Some college, no degree",,Long-term on-the-job training
        Producers and directors,27-2012,Line item,167,175.2,8.3,4.9,12.8,83480,Bachelor's degree,Less than 5 years,
        Athletes and sports competitors,27-2021,Line item,19.1,20.2,1,5.5,2.1,62360,No formal educational credential,,Long-term on-the-job training
        Coaches and scouts,27-2022,Line item,306.5,326,19.5,6.4,41.8,45920,Bachelor's degree,,
"        Umpires, referees, and other sports officials",27-2023,Line item,19.3,20.4,1.1,5.7,4.6,38820,High school diploma or equivalent,,Moderate-term on-the-job training
        Dancers,27-2031,Line item,12.3,12.9,0.6,4.5,1.8,,No formal educational credential,,Long-term on-the-job training
        Choreographers,27-2032,Line item,4.6,4.9,0.3,6.1,0.7,55600,High school diploma or equivalent,5 years or more,Long-term on-the-job training
        Music directors and composers,27-2041,Line item,47.3,47.2,-0.1,-0.3,4.3,63670,Bachelor's degree,Less than 5 years,
        Musicians and singers,27-2042,Line item,169.8,171.6,1.8,1.1,19.4,,No formal educational credential,,Long-term on-the-job training
"        Disc jockeys, except radio",27-2091,Line item,15.4,16,0.6,3.8,1.5,,High school diploma or equivalent,,Short-term on-the-job training
"        Entertainers and performers, sports and related workers, all other",27-2099,Line item,35.8,38,2.1,6,4.4,,No formal educational credential,,Short-term on-the-job training
      Broadcast announcers and radio disc jockeys,27-3011,Line item,24.1,22.8,-1.3,-5.5,2.3,45680,Bachelor's degree,,
"      News analysts, reporters, and journalists",27-3023,Line item,49.3,47.4,-1.9,-3.9,4.1,60280,Bachelor's degree,,
      Public relations specialists,27-3031,Line item,315.9,331,15,4.8,27.6,69780,Bachelor's degree,,
        Editors,27-3041,Line item,115.8,116.5,0.7,0.6,9.8,75260,Bachelor's degree,Less than 5 years,
        Technical writers,27-3042,Line item,56.4,56.9,0.5,0.9,4.5,91670,Bachelor's degree,Less than 5 years,Short-term on-the-job training
        Writers and authors,27-3043,Line item,135.4,140.3,4.9,3.6,13.4,72270,Bachelor's degree,,Long-term on-the-job training
        Interpreters and translators,27-3091,Line item,75.3,76.6,1.3,1.7,6.9,59440,Bachelor's degree,,
        Court reporters and simultaneous captioners,27-3092,Line item,17.7,17.7,0,-0.3,1.7,67310,Postsecondary nondegree award,,Short-term on-the-job training
"        Media and communication workers, all other",27-3099,Line item,34.3,35.3,0.9,2.7,3,71770,High school diploma or equivalent,,Short-term on-the-job training
        Audio and video technicians,27-4011,Line item,92.3,95.4,3.1,3.3,7.3,54830,Postsecondary nondegree award,,Short-term on-the-job training
        Broadcast technicians,27-4012,Line item,24.8,24.2,-0.7,-2.8,1.8,53920,Associate's degree,,Short-term on-the-job training
        Sound engineering technicians,27-4014,Line item,16.9,16.6,-0.3,-1.7,1.2,66430,Postsecondary nondegree award,,Short-term on-the-job training
        Lighting technicians,27-4015,Line item,12.1,11.5,-0.6,-4.6,0.8,60560,Postsecondary nondegree award,,Short-term on-the-job training
      Photographers,27-4021,Line item,151.2,154,2.8,1.8,12.7,42520,High school diploma or equivalent,,Moderate-term on-the-job training
"        Camera operators, television, video, and film",27-4031,Line item,36.4,36.9,0.4,1.2,2.9,68810,Bachelor's degree,,
        Film and video editors,27-4032,Line item,43.5,45.2,1.7,4,3.6,70980,Bachelor's degree,,
"      Media and communication equipment workers, all other",27-4099,Line item,15.1,15.2,0.1,0.6,1.1,67190,High school diploma or equivalent,,Short-term on-the-job training
      Chiropractors,29-1011,Line item,57.2,62.6,5.4,9.5,2.8,79000,Doctoral or professional degree,,
"        Dentists, general",29-1021,Line item,129.8,135.2,5.4,4.1,3.9,172790,Doctoral or professional degree,,
        Oral and maxillofacial surgeons,29-1022,Line item,6.1,6.4,0.3,4.1,0.2,,Doctoral or professional degree,,Internship/residency
        Orthodontists,29-1023,Line item,5.9,6.2,0.3,4.4,0.2,,Doctoral or professional degree,,Internship/residency
        Prosthodontists,29-1024,Line item,0.9,0.9,0,4.5,0,,Doctoral or professional degree,,Internship/residency
"        Dentists, all other specialists",29-1029,Line item,6.6,6.6,0,0.3,0.2,225770,Doctoral or professional degree,,Internship/residency
      Dietitians and nutritionists,29-1031,Line item,90.9,95.9,5,5.5,6.2,73850,Bachelor's degree,,Internship/residency
      Optometrists,29-1041,Line item,47.8,51.6,3.8,8,2.4,134830,Doctoral or professional degree,,
      Pharmacists,29-1051,Line item,335.1,350.5,15.4,4.6,14.2,137480,Doctoral or professional degree,,
      Physician assistants,29-1071,Line item,162.7,195.8,33.2,20.4,12,133260,Master's degree,,
      Podiatrists,29-1081,Line item,9.7,9.9,0.2,1.8,0.3,152800,Doctoral or professional degree,,Internship/residency
        Occupational therapists,29-1122,Line item,160,182.1,22.1,13.8,10.2,98340,Master's degree,,
        Physical therapists,29-1123,Line item,267.2,296.4,29.3,10.9,13.2,101020,Doctoral or professional degree,,
        Radiation therapists,29-1124,Line item,19.2,19.6,0.4,1.9,0.9,101990,Associate's degree,,
        Recreational therapists,29-1125,Line item,16.1,16.6,0.5,3.3,1.3,60280,Bachelor's degree,,
        Respiratory therapists,29-1126,Line item,139.6,156.4,16.8,12.1,8.8,80450,Associate's degree,,
        Speech-language pathologists,29-1127,Line item,187.4,215.5,28.2,15,13.3,95410,Master's degree,,Internship/residency
        Exercise physiologists,29-1128,Line item,23.9,26.1,2.3,9.5,1.7,58160,Bachelor's degree,,
"        Therapists, all other",29-1129,Line item,56.1,62.5,6.4,11.5,4.1,65010,Bachelor's degree,,
      Veterinarians,29-1131,Line item,86.4,94.7,8.3,9.6,3,125510,Doctoral or professional degree,,
      Registered nurses,29-1141,Line item,3391,3557.1,166.1,4.9,189.1,93600,Bachelor's degree,,
      Nurse anesthetists,29-1151,Line item,53.8,58.5,4.6,8.6,2.7,223210,Master's degree,,
      Nurse midwives,29-1161,Line item,8.6,9.5,0.9,11.1,0.5,128790,Master's degree,,
      Nurse practitioners,29-1171,Line item,320.4,448.8,128.4,40.1,29.5,129210,Master's degree,,
      Audiologists,29-1181,Line item,15.8,17.3,1.5,9.5,0.7,92120,Doctoral or professional degree,,
        Anesthesiologists,29-1211,Line item,45.3,46.7,1.4,3.2,1.3,,Doctoral or professional degree,,Internship/residency
        Cardiologists,29-1212,Line item,19.4,20.2,0.8,4.1,0.6,,Doctoral or professional degree,,Internship/residency
        Dermatologists,29-1213,Line item,10.9,11.6,0.7,6.4,0.4,,Doctoral or professional degree,,Internship/residency
        Emergency medicine physicians,29-1214,Line item,36.1,37.1,1,2.7,1,,Doctoral or professional degree,,Internship/residency
        Family medicine physicians,29-1215,Line item,116,119.1,3.1,2.7,3.3,238380,Doctoral or professional degree,,Internship/residency
        General internal medicine physicians,29-1216,Line item,73.2,75.6,2.4,3.3,2.1,236350,Doctoral or professional degree,,Internship/residency
        Neurologists,29-1217,Line item,8.3,8.8,0.5,5.4,0.3,,Doctoral or professional degree,,Internship/residency
        Obstetricians and gynecologists,29-1218,Line item,21.5,21.7,0.3,1.2,0.6,,Doctoral or professional degree,,Internship/residency
"        Pediatricians, general",29-1221,Line item,46.4,46.8,0.4,0.8,1.2,210130,Doctoral or professional degree,,Internship/residency
"        Physicians, pathologists",29-1222,Line item,12.6,13.1,0.5,4.2,0.4,,Doctoral or professional degree,,Internship/residency
        Psychiatrists,29-1223,Line item,27.1,28.8,1.7,6.1,0.9,,Doctoral or professional degree,,Internship/residency
        Radiologists,29-1224,Line item,28.2,29,0.8,2.7,0.8,,Doctoral or professional degree,,Internship/residency
"        Physicians, all other",29-1229,Line item,340.7,349.3,8.6,2.5,9.6,,Doctoral or professional degree,,Internship/residency
"        Ophthalmologists, except pediatric",29-1241,Line item,12.5,13.1,0.5,4.3,0.3,,Doctoral or professional degree,,Internship/residency
