AGE,SEX,EDUC,INCTOT,PERWT
78,1,10,484000,6500
65,2,8,47500,4400
36,1,11,200000,1600
59,2,6,30,9500
69,1,11,82000,11100
52,1,10,72800,3900
68,2,3,102800,6000
29,2,4,13800,9200
83,2,6,12700,2600
83,2,7,35000,4900
37,1,10,187000,5500
25,2,10,65000,6500
59,2,0,7400,4500
75,2,6,8600,7100
52,1,6,79000,4800
41,1,6,40000,400
57,2,10,31000,15800
79,2,6,9400,1900
29,1,6,20000,6600
42,1,6,54000,2600
46,1,10,85000,10800
47,2,7,20800,12900
25,2,6,30680,8600
54,1,0,45200,7900
39,2,7,27300,4400
65,2,6,46000,4500
70,2,6,55000,5900
66,2,8,171000,3600
61,1,11,127100,2900
49,1,6,26400,7400
40,2,8,46100,16700
73,2,2,8400,14400
62,2,7,18400,5400
25,2,10,50000,18600
29,1,7,75000,11400
80,2,6,19500,16000
67,1,6,154200,10600
41,1,10,87000,7000
68,2,10,33000,800
53,1,10,305200,2700
39,2,6,44000,12000
65,2,6,12000,16300
85,2,7,24000,700
38,2,10,7200,4600
62,2,10,65000,5800
58,2,6,47000,13900
57,1,6,50000,4000
61,2,6,1200,14600
66,1,11,27700,2600
26,2,10,50000,13800
82,1,5,39200,4800
86,2,10,12000,7100
30,2,10,52000,5100
83,2,6,23600,3400
29,1,10,100000,18800
30,2,11,22000,6400
63,1,8,325000,5100
93,1,11,4800,1400
65,1,6,36400,5500
62,1,6,65000,6000
27,2,10,6000,17700
31,2,10,60000,13600
77,1,11,15500,2300
45,2,6,40000,30400
83,1,11,36000,5600
49,2,11,300000,5300
94,2,6,43500,4800
53,2,6,90000,5300
77,2,7,25000,8500
62,2,6,8700,2000
60,1,0,40900,8700
59,2,7,40100,5600
79,1,10,75000,10300
56,1,8,100000,6800
64,2,7,18000,5600
75,2,11,66000,5500
69,1,6,4000,8400
77,1,6,10400,4000
69,1,6,88000,4200
73,2,6,31900,6800
41,2,7,70000,4900
37,1,11,592400,25100
70,2,7,105000,8300
33,2,10,250000,6100
81,1,11,90000,1200
64,2,10,26000,5900
90,2,11,1400,6300
27,1,10,106000,7900
28,1,7,69000,16000
76,2,7,18100,3800
54,1,11,85300,1600
29,2,6,48000,17300
73,1,8,60500,1500
47,1,11,222700,5800
64,1,11,165000,7600
85,1,11,19200,1100
31,2,10,36000,20500
54,1,6,158000,10200
30,1,10,68000,6300
47,2,6,80000,8300
54,2,11,90000,4900
39,2,10,52000,5700
25,1,8,29800,13800
48,2,7,36000,5300
84,1,6,31400,800
79,2,6,11400,3100
68,1,11,222000,7400
33,2,6,65000,8500
62,1,6,89000,5300
44,1,7,7000,11100
66,2,8,12000,5100
28,2,8,3700,10900
81,2,8,18000,5500
37,1,6,75000,56500
65,1,6,313600,4500
40,1,6,9000,6000
57,2,10,22000,6300
58,1,7,81000,17800
26,2,6,25000,3400
73,2,6,18000,5800
46,1,11,80000,5300
25,1,10,45000,2500
57,2,11,81000,5900
44,1,6,85000,5400
89,2,6,15000,3600
77,2,11,7200,9600
86,2,6,27600,900
48,2,8,47400,8500
49,1,10,153800,6600
73,1,6,41700,2700
79,1,10,2400,5000
25,1,7,18000,4900
37,2,6,141000,7300
52,1,11,601000,39700
36,1,2,5000,17800
44,2,8,100000,8200
89,2,7,334200,8400
25,2,10,25990,5900
35,2,7,8000,6900
41,1,6,75000,5900
78,2,6,11000,7700
85,2,6,47300,9200
42,2,11,10700,4800
32,2,6,14600,4400
51,1,6,56000,6700
30,2,11,235000,19100
78,2,6,32000,6300
36,1,7,89000,7700
68,2,6,36800,1600
68,2,6,38000,5100
46,1,6,93000,2100
25,2,6,5500,9400
37,1,6,42700,33600
53,1,6,10000,7100
74,1,6,16800,1900
66,1,6,77500,11400
38,1,10,82000,23000
34,1,6,30000,10700
29,1,11,60000,6800
84,1,11,85000,5100
28,1,6,72000,25800
74,2,10,63000,1600
57,1,7,65000,1300
70,1,8,24000,10200
70,1,10,67800,3800
55,1,6,200000,5400
43,2,7,41500,25600
33,2,0,13900,1100
42,1,6,110000,15600
41,2,6,27000,28600
77,1,7,46900,4900
29,2,11,13010,4500
72,1,11,190000,4300
65,2,6,50000,4800
44,2,10,80000,6000
49,2,7,13000,20300
86,1,6,11900,1400
47,1,10,2400,1400
69,1,6,21100,6700
62,2,6,41200,39100
57,1,10,155000,4000
25,2,10,55000,2500
25,1,6,40000,7100
84,2,6,55570,7700
30,1,10,84000,7200
62,2,6,21000,1200
57,2,6,20000,5100
71,1,10,45500,5000
62,2,7,17000,6600
69,1,6,8700,3000
87,1,11,54800,9000
69,1,6,49000,2600
46,1,8,112000,6200
89,1,6,16000,2700
71,1,11,86430,5000
80,1,10,345800,1000
55,2,8,125000,7500
56,1,11,49100,5600
76,2,10,20000,15200
44,2,6,80000,9900
81,1,11,110900,11100
36,1,10,38000,11300
61,1,6,35000,11000
56,1,6,4000,11400
80,1,6,57000,6500
74,2,6,34800,9900
32,2,10,55000,7700
68,2,10,2000,9900
64,2,10,18000,7400
28,1,11,15000,4600
43,2,10,108000,3300
59,1,4,6300,1500
62,1,11,207000,6000
31,1,11,200000,19000
29,2,6,3400,41500
73,2,8,12030,700
90,2,6,1700,5700
55,2,10,65000,2400
44,2,11,48000,5000
69,2,8,11400,3500
65,1,10,130800,6500
31,1,7,70000,27300
94,2,2,12000,1900
29,2,6,1500,4000
71,1,6,14020,2500
47,2,8,25000,28200
44,2,11,137700,10100
58,1,10,90000,5800
94,1,10,99200,5800
58,2,8,11900,18100
35,2,7,36000,3800
51,2,11,110000,10800
35,1,10,70000,8100
75,2,11,31400,10300
85,1,10,109500,6300
35,1,2,50000,4700
36,2,7,34000,10400
41,1,10,92000,5000
33,2,11,90000,27300
51,2,6,38000,11200
42,2,10,100000,4600
25,1,10,31200,14900
51,2,6,52000,7100
66,1,8,71150,6100
55,1,6,103000,3400
89,1,10,45600,14600
77,2,6,9700,5300
70,2,6,3600,12400
51,2,6,42000,5400
52,2,7,60000,3200
54,1,6,102900,3600
70,1,10,65400,7900
52,2,6,62000,7300
41,1,6,65000,9300
40,2,11,160000,9000
41,2,6,30000,22600
35,1,6,48000,9500
41,2,8,11300,7100
51,1,6,2400,8700
52,1,10,125000,3200
64,1,10,83000,9300
64,1,6,19300,8300
64,1,6,88000,3200
55,1,8,104000,19100
53,1,6,72700,22100
28,2,10,45000,5500
94,2,6,8200,8700
62,2,7,36000,21400
66,1,6,34100,6400
26,2,10,50000,7100
61,1,8,30300,10600
43,2,10,130000,13900
40,2,7,40000,6900
51,1,10,124000,8000
72,2,11,30000,5300
65,1,10,4820,10100
67,1,6,9270,17600
43,1,2,53000,8300
62,2,7,71100,6900
73,1,6,32500,19200
69,1,11,33600,4700
74,1,6,17200,7600
51,1,10,250000,7100
59,2,11,23030,3700
47,2,10,30000,10700
46,2,6,20000,10100
28,2,6,11260,16900
34,1,6,53000,7200
41,2,6,61000,1600
48,1,6,10800,1100
90,2,6,303000,7000
59,1,6,90000,5200
69,2,10,43100,17900
30,1,10,84000,11400
67,2,10,139000,5500
81,1,10,125000,3900
72,1,10,31900,4400
48,2,10,56000,1700
64,2,6,14000,6100
70,2,11,120050,7800
58,2,11,6500,5000
55,1,10,139000,4300
70,1,7,36000,2600
39,1,6,30000,3800
42,1,6,84000,39700
42,2,6,13000,47700
41,1,11,170000,9900
52,1,10,124000,2800
52,1,7,33000,15100
79,2,11,4800,5500
44,2,11,91000,8100
43,2,11,188200,8500
31,1,10,195000,1700
59,1,10,4000,9900
61,2,11,90000,8000
47,1,11,61000,6900
43,1,10,83000,6500
63,2,6,52000,9400
55,2,6,55000,7900
27,1,10,60000,2200
43,1,6,22000,7400
62,2,8,56300,6100
54,1,6,55000,4900
52,2,6,54000,7400
42,2,11,43000,5200
76,2,10,16600,4800
55,2,10,65000,9900
78,2,11,29800,5300
31,2,11,51000,2100
72,1,10,65000,6700
53,1,11,411000,6000
46,2,10,142500,1200
82,2,6,19400,27300
44,1,11,727000,5000
26,2,10,50000,10300
83,2,6,52200,2500
50,1,11,14400,700
78,2,11,52000,7100
38,2,7,85000,2000
69,1,6,15200,12900
36,2,10,252000,5300
45,2,11,44400,1600
26,1,10,95000,14500
70,1,6,13200,23200
61,2,6,60000,5000
78,2,8,42450,10600
62,1,10,36000,10000
47,1,10,129600,2900
70,2,8,43520,6600
47,1,6,10000,7100
42,1,8,20000,2500
34,2,6,11000,6400
63,2,6,85600,6100
52,1,7,10000,9000
63,2,6,49000,7800
36,2,10,165000,25000
71,2,6,113010,11300
61,2,6,22020,5600
62,2,6,75000,4900
41,2,10,50000,2700
77,1,11,71090,5500
53,2,6,41100,1600
42,2,8,20000,1500
34,2,7,34000,6900
48,1,6,55000,23000
26,2,11,58000,6800
30,1,6,27000,18600
25,2,7,41000,52800
28,1,6,130000,6100
67,2,10,82150,6600
63,2,6,32000,15500
27,1,7,20000,11100
76,2,10,60000,12600
40,1,11,509000,14100
48,1,11,31100,35100
73,2,10,40000,2000
54,1,8,138000,7000
34,2,6,40000,2800
26,1,10,60000,41000
41,2,6,20500,8700
29,2,3,16300,2100
95,2,6,25100,6700
69,1,10,530000,4300
62,2,11,49200,4400
53,1,10,156000,4900
58,2,6,59000,2100
40,2,6,40000,17400
56,2,11,20100,14700
52,2,10,120000,4300
40,1,8,47500,5800
71,2,6,20200,9600
55,1,10,150000,6800
42,1,6,72000,6100
74,1,8,12000,11900
41,1,11,572000,8800
35,1,8,50000,20100
45,1,6,36100,2500
75,2,10,23400,6200
43,2,11,16000,20600
77,2,10,10800,4500
35,1,6,25000,4200
54,1,6,230000,17200
37,1,11,120200,12600
64,2,6,15000,6900
42,1,7,48000,11300
87,1,6,12900,7000
62,1,10,184000,5900
87,2,6,30000,4400
54,1,11,99000,16900
56,2,10,43000,9000
42,1,10,130000,6700
62,2,11,45000,14900
30,2,6,104000,4600
45,2,6,19600,8400
50,2,7,110000,2000
68,1,7,67700,8400
35,1,8,90000,7500
32,1,10,30000,14400
38,2,11,175000,38800
69,1,7,34400,6900
72,1,7,73500,6800
32,2,6,68000,36700
57,1,7,180000,3700
68,1,6,42200,10000
43,1,10,60000,10400
41,2,7,30000,3100
72,1,11,197700,10600
94,2,7,108800,15200
71,2,2,14200,4400
76,1,10,53000,2300
52,1,10,20000,38700
36,2,11,70000,6900
33,2,10,40000,8500
72,2,6,18700,7300
48,2,11,94000,15100
89,2,8,18200,25500
39,2,11,115000,4700
50,1,6,2600,6500
46,1,8,27600,33700
32,1,10,60000,6400
43,2,10,89000,13200
75,1,7,42600,4600
50,2,5,28000,18800
82,1,11,40300,3600
58,2,10,94000,7100
71,2,11,5900,14500
80,1,10,60000,3600
72,1,10,44000,5300
66,2,10,85000,4300
75,2,10,21400,4900
50,1,6,42000,4000
36,1,11,190000,17700
41,2,10,140000,8500
41,1,6,25000,6400
84,2,8,13000,1000
69,1,6,26300,7600
70,2,6,28000,22900
73,2,6,13200,10500
31,2,10,32040,5300
79,2,6,33700,3900
88,2,6,12500,9500
44,2,7,45000,4400
45,2,10,10000,7100
71,1,6,42200,1500
49,1,6,18000,12900
30,2,11,63000,7800
77,2,7,34000,1500
43,1,10,90000,3500
34,1,7,21000,5700
42,1,6,65000,11100
62,2,6,49000,19800
57,1,8,22000,2800
65,1,6,12800,4700
82,2,2,18200,1400
61,1,8,120000,21900
78,1,10,69900,5300
78,2,6,5700,5100
61,1,11,285000,1700
81,1,6,26700,15500
89,2,11,98400,8300
60,1,6,80000,3700
75,1,6,12500,7000
65,1,7,104000,7600
60,1,6,35000,1400
65,1,10,163000,4400
48,1,10,185000,6600
67,1,6,47200,1800
74,1,10,59100,3600
38,1,10,111000,12600
74,1,8,11000,2200
70,2,6,30500,3000
36,1,6,146000,83900
85,1,6,50000,1900
26,2,6,43400,31500
39,1,10,185000,18500
32,2,11,120000,14800
27,2,6,4900,10600
44,2,7,25000,51200
43,1,11,80000,27200
33,2,6,3500,5600
40,1,10,95000,6200
72,1,6,46000,5900
42,2,11,205000,9800
58,1,11,613000,5900
58,2,6,38000,11500
77,1,10,74000,3100
71,1,7,106000,9800
47,1,6,105000,10100
73,1,10,454600,8300
66,1,10,437800,7100
50,1,8,90000,2700
69,2,10,28000,5900
61,1,6,18000,6700
36,1,10,40000,8400
74,1,7,44700,1300
42,1,6,109000,19900
79,2,10,144400,8900
66,2,5,40000,6300
76,2,6,8200,4400
26,2,6,42000,7300
42,1,10,5000,12600
63,2,6,17110,6100
75,1,7,93800,5900
40,2,7,3000,7900
69,2,10,11300,10000
60,1,6,40000,6900
47,1,3,50000,19500
51,2,11,1000,5700
73,2,6,57900,33800
78,2,6,81100,8600
34,1,11,77000,8300
64,2,6,104000,11900
54,2,3,15700,14200
69,2,6,33100,2300
66,2,7,8800,9700
31,1,11,80000,6000
54,1,6,209900,10900
72,2,6,16800,9900
43,1,10,31100,17800
57,2,6,3000,6300
52,2,10,19200,5200
29,1,6,32000,12000
66,2,10,62000,5000
71,1,7,39000,11800
39,2,11,250000,21700
35,2,10,52000,8700
45,2,6,44200,2700
67,1,6,39000,7400
29,1,7,26000,24300
47,2,7,30000,2900
63,1,6,49100,3700
71,2,7,63100,3500
41,1,8,9700,20100
41,2,10,2200,6700
40,2,7,35000,13600
35,2,11,103000,9800
77,1,6,97300,8900
51,1,10,95000,5500
82,2,6,20000,5700
88,1,11,104000,12000
29,1,10,90000,6300
64,1,10,160000,6900
25,2,3,23400,28500
57,1,11,311000,24800
30,2,11,130000,5100
68,1,4,8000,8800
57,1,6,900,2800
80,1,6,64000,6100
56,1,6,42000,6300
90,1,11,35400,2800
61,1,6,85000,8300
43,2,10,56000,34000
29,1,3,21300,700
75,1,8,36500,7400
38,2,8,22000,5300
79,1,6,2000,7100
40,2,11,17000,4800
51,1,6,120000,5200
50,2,6,6000,39100
51,2,8,45000,4500
62,1,7,74800,2500
60,1,7,25300,4100
73,1,5,32100,2400
27,2,11,49000,12000
60,2,10,35900,2400
38,2,10,16000,7100
70,1,8,48000,2900
37,1,6,52000,8600
30,2,11,33000,19200
72,2,11,45600,6500
27,2,10,110000,7200
33,1,7,66000,9600
65,2,6,97000,9200
41,2,10,75000,15700
39,1,8,30000,2200
46,1,6,124000,35500
37,1,6,89000,7400
45,1,6,40000,12200
43,2,7,34000,5400
63,2,10,16000,4900
68,1,6,31000,9800
75,1,4,63800,1300
29,1,6,1000,1200
55,2,6,55000,60700
70,2,10,125500,5700
32,1,10,93100,6400
67,1,10,137400,5600
61,2,10,27000,11000
65,2,10,67000,8600
62,1,10,42000,13600
28,1,8,36000,200
85,1,6,34200,7100
36,2,6,19200,19500
62,2,6,45000,8600
81,1,10,3860,10000
74,1,8,24700,3200
38,2,11,89500,20500
62,2,6,46700,13100
44,2,6,7600,36100
32,2,11,56000,5000
72,1,6,76200,6000
38,2,7,85000,11000
57,2,11,60000,5800
32,1,7,39000,32900
65,1,6,63600,6500
56,1,10,250000,5900
52,1,10,868500,10700
55,1,11,200000,9300
67,2,10,62000,4200
34,1,6,67000,23900
94,2,6,47000,5600
46,1,10,180000,9500
47,1,8,30000,4400
25,2,6,31000,13200
59,2,6,33000,11000
46,2,10,5200,9200
77,1,11,107000,7600
85,2,6,15800,5000
69,2,7,45000,5300
78,2,6,48000,19300
74,2,10,6100,6200
39,2,11,180000,5500
59,2,6,38610,6800
36,1,7,43100,6400
59,1,4,980,17400
71,1,8,63000,7600
44,2,8,56000,13100
53,1,8,105000,5800
38,1,6,33300,3100
33,1,10,297900,6600
26,2,8,60000,6700
52,1,6,54000,18200
47,1,7,50000,7400
72,1,7,94360,9100
48,1,6,35000,5400
47,2,10,3100,3100
40,1,2,90000,10200
75,1,10,107000,5100
77,2,6,19000,9500
62,1,7,40000,10100
34,1,6,1200,10000
43,2,8,18800,8200
41,1,6,2500,4300
65,2,6,2970,4500
82,2,10,48500,10600
26,1,8,8000,11500
31,2,11,8000,21400
54,1,0,36000,5800
70,2,6,1600,6300
76,2,7,321800,3200
32,1,6,35000,12000
64,1,8,93100,3100
36,2,7,22000,6800
72,1,10,25170,8200
48,2,8,22700,8000
36,2,11,85000,5800
33,1,5,32000,16300
69,1,10,80000,9300
64,1,10,35000,13100
32,2,8,61000,11400
51,1,6,67600,5900
45,1,11,350000,21600
39,2,3,17000,28800
38,1,6,12000,16100
68,2,6,13000,4000
75,2,5,24000,1500
48,1,11,1081100,3000
36,1,6,96000,4500
36,2,11,105000,37300
52,1,7,16000,3300
48,1,11,185000,3100
65,1,6,26000,600
52,1,6,100000,5400
95,2,6,38700,1700
32,1,10,157400,4400
67,2,11,100300,7600
59,1,10,51000,5700
51,2,11,96000,13600
77,1,7,29100,60500
52,1,10,18000,5600
40,1,6,83340,23400
67,1,11,103200,13600
25,2,6,35000,6700
26,1,10,75000,8000
67,2,6,35000,4800
28,1,6,53000,5400
66,1,7,74000,5300
83,2,6,48700,7500
34,1,6,27000,5300
29,1,11,75000,22000
49,1,10,230000,5600
47,1,6,19500,6000
72,2,11,261000,5600
92,2,8,18600,4700
72,2,11,3900,7000
37,2,7,11680,7200
46,1,10,44110,7800
83,1,10,116600,3900
59,2,6,9500,13200
69,2,11,130000,2900
39,2,6,46100,6300
31,1,10,76000,30600
45,1,11,100010,5700
60,2,4,11300,6700
47,1,6,150000,8500
60,2,7,3000,3300
33,2,10,93000,7300
32,2,6,39000,4200
48,1,10,260000,18600
95,2,6,16000,7100
66,2,10,92000,4600
78,1,10,2800,5900
64,1,10,105000,9500
37,2,5,9200,900
27,2,11,100000,9200
35,1,6,26000,5600
52,2,6,30500,8300
77,2,11,61000,5400
76,2,7,26900,4800
55,1,6,53000,7600
50,2,10,2000,7300
55,1,8,69100,5200
74,2,10,60000,7600
32,1,6,15000,12100
48,2,5,34000,1500
37,2,0,113010,7700
44,2,11,80000,4900
66,2,6,12900,2500
94,2,6,31800,7700
30,2,6,27000,4700
50,1,7,85500,6600
60,2,6,31000,4300
33,2,10,70000,9400
72,2,10,14200,8300
59,1,11,1186000,6600
73,2,10,3000,4600
75,1,8,3600,9300
66,1,6,120000,2800
76,2,6,15900,1900
76,2,6,21500,4400
45,1,11,210000,26500
55,2,7,55000,5100
80,1,0,16800,400
37,1,10,31000,12500
60,2,10,141000,8000
76,2,6,22800,3700
63,2,6,16800,15500
49,2,11,90000,14400
50,2,8,75000,30400
43,1,7,8000,6600
87,2,6,28200,6300
50,1,6,20000,3200
38,2,10,160000,400
50,1,6,112100,9300
88,2,7,73000,6300
31,2,10,111000,7200
87,2,6,21600,4400
95,1,6,28400,5300
64,2,6,50000,9900
53,1,6,65000,9100
44,2,8,75000,6000
28,1,6,960,16500
64,2,6,16900,14200
64,2,8,53700,3900
78,2,7,70000,3700
49,2,6,73000,13000
61,1,6,9800,1900
56,1,8,102900,9000
57,1,7,140000,13300
37,1,10,200000,3700
38,2,6,36000,9800
26,1,7,40000,18000
29,2,10,70000,19700
26,2,8,20000,5300
71,2,10,50000,9500
85,2,10,16800,2000
63,2,6,28000,5300
31,1,6,31200,10600
61,1,6,57000,6500
60,1,6,77000,2500
77,1,8,85300,9300
67,1,8,53900,6100
52,2,10,51000,12200
67,1,10,38400,3500
52,2,2,14000,12200
42,2,10,82000,7300
50,1,6,12000,9700
67,2,10,18000,6500
84,1,10,13800,6300
40,1,6,25000,19900
56,1,10,638300,3900
63,1,6,14000,18700
51,2,10,55000,14000
51,1,11,165000,8200
67,1,8,50400,4500
55,1,8,56200,16300
55,2,10,107000,3200
62,1,6,43000,5300
63,2,6,41200,11400
26,2,6,32000,12300
57,2,10,112000,32900
43,2,11,80000,3200
56,2,6,46900,3400
36,2,7,227000,6900
53,2,3,11400,43700
34,2,10,101000,5900
32,2,6,22900,1600
39,2,10,130000,1800
41,2,10,50000,7500
58,1,7,40000,6900
44,1,6,60000,3800
43,2,7,40000,4400
36,2,6,15000,5500
43,1,10,64000,6400
45,1,6,51000,5200
80,1,4,11200,14400
65,2,7,12200,8400
25,2,10,62000,10100
58,2,6,52000,1400
27,2,11,38000,10500
82,1,6,12200,7800
34,2,11,150000,9400
81,2,6,6900,6400
30,2,8,60000,34400
63,1,6,86000,14100
81,1,6,42500,4900
46,2,6,36000,4900
54,2,11,414000,6400
53,1,6,12000,13500
66,1,8,53000,4000
83,2,10,14400,2300
80,2,6,21400,2100
51,2,11,210000,5000
62,1,6,90500,10100
71,1,7,73500,3600
84,2,6,83400,9500
33,1,11,73000,12700
33,1,6,130000,23600
58,1,8,230000,12900
57,2,10,40000,30900
85,2,10,57600,4800
45,2,7,100000,6500
66,1,7,31100,8200
60,2,6,66000,14400
61,1,6,19200,8500
71,2,8,190500,16000
61,2,11,162000,6000
37,2,11,40000,8600
44,2,11,100000,33600
30,2,11,15000,9700
30,1,11,23350,22900
48,2,6,10000,32000
56,1,6,11000,300
28,1,8,130000,7300
61,1,8,69000,6400
36,1,6,26000,9200
30,2,8,9200,4000
70,2,6,14000,18100
94,2,6,24000,12000
78,1,6,26200,2800
78,2,10,267300,5500
37,1,6,31100,26200
33,1,10,120000,17700
62,1,8,48000,18500
65,1,8,104600,5200
83,1,11,39400,3000
63,2,6,1300,9000
46,2,6,30000,2600
38,1,11,180000,35900
29,2,7,41200,2900
72,2,6,16000,8500
79,2,10,29600,12400
72,1,11,48940,1800
36,1,11,153000,13800
38,1,8,110000,12400
38,1,10,120000,13900
76,2,11,18700,16100
63,2,10,42000,10700
66,2,6,5000,2400
41,1,10,60000,6200
54,1,10,72000,7700
31,2,8,88000,6100
66,1,5,136000,3800
27,2,7,24000,4400
63,2,6,10200,8400
45,2,10,54000,6900
80,1,6,40400,6400
59,1,3,95000,2600
51,2,8,90000,7200
30,1,0,3000,12200
78,2,7,22800,5500
67,2,6,39200,6200
38,1,11,55000,3400
66,2,11,97500,7200
61,1,10,150000,6700
33,2,6,30000,6500
72,2,11,94000,10700
94,1,6,13500,5200
62,1,6,37000,9000
77,2,6,18000,9200
67,2,6,12000,5300
41,1,7,3000,8100
69,2,8,25400,6400
35,2,11,70000,5600
47,2,8,36000,41700
30,2,11,100000,11700
37,2,6,90000,5900
61,1,10,200000,5000
36,1,11,120300,6000
40,1,10,68000,30400
62,1,10,65200,12400
25,2,8,80000,22400
50,1,2,45000,14900
31,1,6,36000,2200
80,1,10,36000,4400
34,1,10,130000,5800
90,2,6,17200,3700
29,1,10,69000,5500
63,1,11,142500,9700
64,1,0,10000,4900
53,2,10,85000,12000
52,2,6,28000,3500
69,1,10,95000,8000
28,2,11,65000,6100
28,1,10,41600,10500
55,1,11,136000,6100
45,1,10,86000,7700
50,2,8,23000,6800
40,1,10,350000,6000
60,1,8,114000,32000
70,2,11,36000,14100
73,1,10,50900,6800
62,1,6,28000,9300
76,2,6,72900,3800
41,1,10,107100,8000
77,2,6,5500,4400
83,2,7,31900,5600
79,2,6,10100,5200
55,1,10,13500,1400
54,1,6,65000,6900
45,1,3,16000,14200
35,2,10,69000,11800
71,2,6,38000,3500
73,1,11,6000,300
50,2,11,150000,20000
38,1,0,27200,1000
70,1,8,53300,17400
70,1,8,328000,9200
80,1,7,55400,5100
57,2,5,5000,3700
37,2,10,1000,2700
41,2,11,350000,4100
61,1,6,12000,2200
32,1,6,46800,9500
70,2,11,14600,1400
51,2,6,20000,8200
38,1,10,139000,13700
28,2,10,38800,2800
60,1,8,58000,6600
38,1,6,18000,5700
68,2,6,2300,7900
79,1,7,43300,9600
65,1,6,31000,22100
64,1,6,9150,5700
67,1,3,22000,10200
26,1,10,111800,9000
70,2,8,12000,2000
50,2,8,50000,23000
52,2,7,7900,4800
58,1,11,269000,6500
69,1,6,37000,17200
67,1,10,7800,5600
65,1,6,494000,2600
53,2,8,38400,15500
72,1,10,1400,8200
25,1,8,15000,7300
27,2,6,12000,7900
62,2,6,18000,8100
55,1,10,87000,3000
66,1,10,19000,4200
67,1,6,30200,3700
65,1,3,11700,7700
50,1,6,52000,4800
65,2,6,21300,2400
25,2,10,89400,4600
41,1,6,100000,9600
55,2,11,163000,7800
60,1,7,10000,13300
31,2,10,135000,6700
41,1,10,165000,1000
67,2,6,33200,1900
71,1,4,13300,600
73,2,6,59000,7100
37,2,11,103000,6800
73,1,6,45900,9100
74,2,6,34800,4100
69,2,6,28100,3300
31,1,10,13800,16300
90,1,8,24900,5700
60,2,11,33000,7100
76,1,11,144000,6800
68,1,10,74900,4900
31,1,10,120000,6200
67,1,3,20400,3200
73,2,10,25000,3900
52,2,6,56000,5000
39,2,10,740000,6700
47,1,4,71000,3200
42,1,6,79000,17800
57,2,6,18000,2900
40,1,10,160000,20300
38,1,7,18000,23500
57,2,7,3000,10600
26,1,7,83000,1300
44,1,11,150000,9900
45,2,10,63100,6300
50,1,10,68000,5100
75,2,7,98500,14300
84,2,6,66200,10000
84,1,10,38000,4800
66,1,7,68100,6500
60,1,11,90000,9300
57,1,5,14330,600
68,2,11,20500,7400
25,1,10,4000,10800
51,2,10,96000,2800
67,2,2,24600,6200
67,1,11,103200,12300
73,2,7,14200,1900
69,2,11,26300,4700
75,1,6,24500,8600
82,1,10,136230,6100
53,2,11,110000,6300
26,2,10,5000,3000
95,2,6,10900,5000
61,1,6,80000,18100
63,2,6,23500,14100
47,1,6,50000,8300
80,1,6,233000,19900
58,1,6,65000,6700
64,1,6,50000,15600
35,2,10,95000,8600
58,1,7,50000,14800
85,2,6,30000,7800
63,2,10,82000,5900
76,1,6,65600,5000
72,1,11,72000,14500
63,1,7,69000,7500
69,1,10,188900,7800
56,1,6,25000,11600
47,2,10,79000,8400
49,2,11,225000,12300
61,2,8,11200,42900
69,2,8,64100,42900
61,2,8,40000,20200
78,1,11,49900,6700
53,2,11,79000,2700
29,1,10,40500,100
81,1,10,2800,2400
72,2,10,3200,15900
31,1,10,63000,4300
25,1,10,76500,16600
38,2,6,36100,12900
54,2,10,214000,9700
30,2,11,181000,7600
54,1,10,140350,4900
61,1,6,27600,4900
39,2,11,27800,2700
33,1,11,150000,5600
74,1,6,28000,9800
61,1,10,240200,5700
61,2,8,175000,8600
79,2,10,60300,11200
71,2,8,50000,9400
43,1,8,80000,5200
78,2,10,56200,24600
65,2,10,41800,9400
33,1,0,30000,16300
68,1,8,35900,8300
65,2,10,22000,5500
55,2,11,3000,6300
72,1,11,58400,4800
59,1,6,18000,1500
80,2,10,97500,4200
66,2,6,18000,4100
72,1,6,54900,5500
30,1,7,55000,27300
60,1,10,150000,3100
80,1,7,50000,8400
66,1,10,136000,4900
66,1,6,204400,11600
67,2,11,42500,1900
48,2,11,34000,5200
65,2,8,26400,2400
73,1,6,56200,1800
62,1,6,86100,31600
48,2,8,68000,18200
39,2,10,200000,11000
84,1,6,12500,4300
72,2,7,73000,7100
36,1,6,45000,8300
51,1,11,36000,89500
62,1,6,200000,21400
71,2,6,18500,9300
59,1,6,73000,4400
69,2,11,24000,4400
28,1,1,4200,6500
26,2,10,15000,8100
64,2,8,43200,1000
81,2,6,23000,7000
71,2,10,407500,5300
68,1,11,46000,1500
61,2,4,15600,5100
54,2,6,50000,31400
38,1,11,60000,1600
25,1,6,20000,9100
67,2,11,57200,5200
61,1,6,61000,6900
54,1,8,280000,6600
54,1,6,47500,41900
47,2,7,60000,4200
45,2,10,34800,4500
45,2,11,68000,8600
63,2,11,36000,6000
36,2,4,30000,5200
28,2,11,60000,2600
74,1,10,224000,2700
42,2,6,15000,3000
77,1,6,52800,1300
80,2,10,7200,3300
76,2,8,15600,4500
30,2,6,12000,2900
61,2,6,27000,7700
73,2,6,14300,5900
86,2,7,10800,2200
59,2,11,150000,16800
73,2,6,10600,1300
25,2,10,47820,5800
59,1,6,60370,6600
63,1,6,24000,3100
43,1,11,573000,6800
28,2,10,105000,2400
72,1,11,203100,5900
73,1,8,4500,4200
44,1,7,65000,11200
62,1,10,40200,800
